$T$
AR
N$_2$
HE
H$_2$
H
O$_2$
O
H$_2$O
OH
H$_2$O$_2$
HO$_2$
NO
N$_2$O
NO$_2$
HNO
HNO$_2$
HONO
HONO$_2$
N$_2$H$_2$
H$_2$NN
NH$_2$OH
HNOH
NH$_3$
N$_2$H$_4$
N
NO$_3$
NH
NNH
NH$_2$
H$_2$NO
N$_2$H$_3$
