$T$
H
O$_2$
OH
O
H$_2$
H$_2$O
HO$_2$
H$_2$O$_2$
CO
CO$_2$
HCO
CH$_3$
CH$_4$
CH$_2$O
T-CH$_2$
S-CH$_2$
C$_2$H$_4$
CH$_3$O
C$_2$H$_5$
C$_2$H$_6$
C$_2$H$_2$
C$_2$H$_3$
CH$_2$CHO
CH$_2$OH
CH$_3$OH
N$_2$
